epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.328,1.27078,1.88802,1.65034,0.61704,0.55276,0.58781,0.35336,1.41741,1.79125,1.89055,0.0099974,0.00333247,0.0099974,0.00333247,0.0099974,0.00333247,0.0099974,0.00333247
2,484.871,1.29614,1.86523,1.66952,0.55524,0.51029,0.53565,0.29992,1.58456,1.79598,2.02992,0.0196014,0.00653382,0.0196014,0.00653382,0.0196014,0.00653382,0.0196014,0.00653382
3,720.465,1.38564,2.00597,1.75362,0.4647,0.41441,0.41464,0.22807,1.66586,2.04599,2.151,0.0288095,0.00960317,0.0288095,0.00960317,0.0288095,0.00960317,0.0288095,0.00960317
4,945.626,1.42921,2.07661,1.80196,0.56662,0.4068,0.47265,0.26936,1.62284,1.92987,2.06708,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1170.24,1.36678,1.938,1.74116,0.59881,0.4843,0.52833,0.30995,1.59287,1.78541,2.00515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1611.71,1.3209,1.82135,1.69528,0.67891,0.58765,0.6344,0.37615,1.4693,1.48438,1.92223,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1834.32,1.28228,1.71407,1.66871,0.69114,0.58965,0.64928,0.39108,1.42006,1.43897,1.87103,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2054.79,1.25269,1.65846,1.63899,0.74966,0.59303,0.68627,0.41172,1.41699,1.38649,1.84007,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2276.45,1.22637,1.59694,1.61787,0.74334,0.64564,0.71589,0.4388,1.36127,1.30188,1.8062,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2504.28,1.20731,1.54004,1.6009,0.71558,0.65223,0.71374,0.43413,1.33879,1.27528,1.79412,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2729.9,1.18793,1.50195,1.58723,0.7602,0.6477,0.73019,0.45591,1.33,1.24669,1.76144,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2992.16,1.16855,1.46701,1.5649,0.74686,0.65769,0.73835,0.46341,1.26995,1.21326,1.69965,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3461.23,1.1631,1.42229,1.55876,0.79496,0.69207,0.78432,0.49226,1.25769,1.11374,1.68763,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3686.78,1.13675,1.37906,1.53794,0.8098,0.70112,0.78745,0.50683,1.24173,1.09334,1.6632,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4105.48,1.13233,1.35093,1.53028,0.80188,0.70987,0.80159,0.51133,1.25778,1.06603,1.67996,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4457.43,1.12526,1.33673,1.52014,0.86324,0.716,0.82516,0.5273,1.23975,1.04015,1.64736,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4683.57,1.11461,1.31603,1.51717,0.82954,0.7396,0.82434,0.53251,1.20669,1.01708,1.62662,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4906.35,1.10042,1.28525,1.50682,0.86008,0.74129,0.83589,0.54174,1.20741,0.99602,1.61441,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5132.05,1.09215,1.26648,1.49494,0.82248,0.74799,0.83331,0.54644,1.18481,1.0014,1.59769,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5509.92,1.09298,1.25483,1.49235,0.83595,0.75001,0.84623,0.55587,1.17032,0.96025,1.58197,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5733.96,1.09008,1.24173,1.48961,0.88334,0.75295,0.85898,0.56659,1.15177,0.91552,1.56883,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5956.88,1.07179,1.21551,1.47587,0.86746,0.76323,0.85939,0.57249,1.15084,0.90957,1.56787,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,6570.06,1.0725,1.20806,1.47947,0.85642,0.77141,0.86432,0.5729,1.13712,0.8896,1.56042,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7264.74,1.05603,1.17131,1.46386,0.86997,0.778,0.86568,0.57971,1.14109,0.88382,1.55101,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7489.29,1.04924,1.15839,1.45705,0.84646,0.79981,0.87777,0.58932,1.12908,0.85848,1.54212,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,7715.28,1.04392,1.14572,1.45012,0.86219,0.79859,0.87329,0.58932,1.13303,0.8579,1.54388,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7940.79,1.03569,1.1336,1.44428,0.85728,0.80004,0.87689,0.58469,1.13418,0.84426,1.53763,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,8187.62,1.02975,1.11621,1.4402,0.87362,0.80459,0.88492,0.59859,1.1184,0.83273,1.52516,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,8417.37,1.01992,1.10565,1.43143,0.88283,0.81766,0.8899,0.60601,1.10862,0.81643,1.51069,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8647.9,1.01395,1.0848,1.42654,0.88088,0.80729,0.89211,0.61205,1.1041,0.81616,1.50742,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8876,1.01503,1.07298,1.4242,0.89418,0.81402,0.89772,0.61261,1.10079,0.80196,1.50581,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,9099.04,0.99958,1.0537,1.41368,0.88466,0.825,0.90028,0.61327,1.08696,0.79035,1.48741,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9326.21,1.00352,1.05416,1.41362,0.87898,0.8252,0.90036,0.62149,1.08604,0.78306,1.48466,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9817.05,0.98566,1.03531,1.40514,0.88045,0.81211,0.90066,0.61728,1.08316,0.76656,1.48511,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10179,0.98547,1.03568,1.4007,0.90976,0.80926,0.90871,0.62464,1.07495,0.76989,1.4812,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10407.1,0.98098,1.02054,1.39626,0.88474,0.83192,0.90711,0.62792,1.07015,0.765,1.47841,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10630.6,0.96805,1.00413,1.38668,0.88355,0.82786,0.90785,0.63011,1.07254,0.75803,1.47448,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10852.9,0.96476,0.98769,1.38665,0.88841,0.82566,0.90619,0.62647,1.07377,0.75222,1.46886,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11075,0.96047,0.97894,1.37533,0.90218,0.83061,0.90915,0.62783,1.06899,0.74144,1.46824,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11297.3,0.95193,0.96495,1.37144,0.91403,0.82536,0.91206,0.63431,1.06774,0.73174,1.4666,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11557.9,0.93695,0.7427,1.4121,0.91352,0.82299,0.91018,0.63659,1.05281,0.72976,1.45438,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11781.8,0.91908,0.71477,1.39579,0.90739,0.83889,0.91458,0.64341,1.03893,0.72006,1.44205,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12089.9,0.90126,0.69348,1.38022,0.91087,0.83658,0.91246,0.644,1.03532,0.71374,1.44028,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12369.1,0.88599,0.67333,1.36814,0.90029,0.84758,0.91364,0.64525,1.03171,0.70999,1.43964,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12593.7,0.86891,0.65117,1.35845,0.90739,0.84525,0.91819,0.64612,1.02986,0.70558,1.43755,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12819.8,0.86435,0.64007,1.34854,0.90502,0.84803,0.91773,0.64466,1.03246,0.70479,1.43719,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13045.8,0.85082,0.62581,1.33865,0.91686,0.83633,0.91622,0.64666,1.03254,0.70083,1.43681,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13270.2,0.84332,0.61417,1.33103,0.90175,0.85197,0.91938,0.64801,1.03095,0.69801,1.43435,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
