epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.398,1.02496,2.17113,1.43422,0.89758,0.83931,0.91478,0.63863,1.05576,1.48344,1.45337,0.00998959,0.00332986,0.00998959,0.00332986,0.00998959,0.00332986,0.00998959,0.00332986
2,243.696,1.03649,2.21265,1.44094,0.85658,0.80303,0.88746,0.60468,1.11195,1.67027,1.50779,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127,0.0195938,0.00653127
3,354.119,1.07302,2.3581,1.47208,0.84895,0.79528,0.8639,0.57573,1.17806,1.83117,1.58359,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067,0.028802,0.00960067
4,468.247,1.13135,2.53543,1.51646,0.81599,0.68518,0.79106,0.51079,1.24985,2.29323,1.64598,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,580.132,1.12607,2.53553,1.51426,0.85117,0.76197,0.85433,0.55201,1.22543,1.93434,1.6145,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,693.355,1.12136,2.53609,1.51521,0.81467,0.74979,0.82296,0.53527,1.21794,2.02911,1.61784,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,807.923,1.11027,2.48252,1.50548,0.84217,0.77173,0.85018,0.55057,1.2114,1.92761,1.62361,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,918.083,1.11914,2.49617,1.50699,0.85154,0.76699,0.85479,0.55905,1.22106,1.8896,1.59564,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1030.04,1.10799,2.44591,1.4955,0.86542,0.7795,0.86877,0.57824,1.20128,1.81465,1.57578,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1159.06,1.10783,2.42849,1.49679,0.84367,0.76656,0.85446,0.56234,1.18646,1.89196,1.59392,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1318.74,1.09473,2.39227,1.49101,0.87311,0.77027,0.87387,0.57786,1.16475,1.72172,1.55749,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1453.62,1.09594,2.38144,1.4894,0.86547,0.78603,0.87763,0.57871,1.18916,1.74165,1.57108,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1586.13,1.09021,2.33981,1.48094,0.87837,0.81437,0.89184,0.59128,1.15331,1.707,1.54887,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1703.69,1.08294,2.32609,1.47415,0.86084,0.80781,0.87913,0.58542,1.16328,1.70482,1.54529,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1815.21,1.08522,2.35114,1.47547,0.87228,0.81701,0.89213,0.59285,1.13863,1.68044,1.53202,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1946.95,1.0693,2.29783,1.46808,0.87736,0.81192,0.89371,0.59149,1.14334,1.62198,1.52381,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
