epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.729,1.04138,2.22159,1.44489,0.88479,0.80745,0.89343,0.60199,1.1273,1.6487,1.51321,0.000475839,0.000475839,0.000475839
2,235.201,1.06816,2.34994,1.46979,0.82481,0.7559,0.84863,0.56172,1.19531,1.92781,1.59302,0.00092075,0.00092075,0.00092075
3,353.095,1.11006,2.48193,1.50368,0.86761,0.75659,0.85903,0.54912,1.22577,1.88878,1.61428,0.00133422,0.00133422,0.00133422
4,467.693,1.11826,2.49218,1.50925,0.85762,0.77391,0.86727,0.56723,1.19613,1.80647,1.59664,0.00128753,0.00128753,0.00128753
5,582.248,1.10763,2.44906,1.50244,0.84622,0.7723,0.85825,0.56307,1.19998,1.83551,1.58184,0.00124037,0.00124037,0.00124037
6,697.555,1.09793,2.42247,1.49548,0.84656,0.76125,0.8521,0.55928,1.1692,1.85786,1.56109,0.00119322,0.00119322,0.00119322
7,816.161,1.08956,2.37909,1.48747,0.85826,0.78148,0.87224,0.57417,1.17937,1.75721,1.56007,0.00114606,0.00114606,0.00114606
8,934.566,1.08459,2.35284,1.48084,0.86887,0.77483,0.87079,0.57426,1.20691,1.80778,1.58629,0.0010989,0.0010989,0.0010989
9,1053.49,1.06984,2.30826,1.47145,0.86865,0.78826,0.87781,0.58587,1.15671,1.69316,1.5388,0.00105174,0.00105174,0.00105174
10,1171.71,1.06724,2.29488,1.46428,0.88742,0.80889,0.89278,0.59915,1.14229,1.60712,1.52866,0.00100459,0.00100459,0.00100459
11,1287.56,1.05384,2.21806,1.45762,0.8672,0.81681,0.89444,0.6022,1.13979,1.62672,1.5236,0.00095743,0.00095743,0.00095743
12,1403.22,1.0466,2.19528,1.44807,0.90249,0.79077,0.89498,0.59933,1.15222,1.6314,1.53649,0.000910273,0.000910273,0.000910273
13,1518.48,1.03992,2.18332,1.44207,0.89806,0.81075,0.89771,0.61046,1.11015,1.57612,1.49772,0.000863116,0.000863116,0.000863116
14,1633.75,1.03818,2.17179,1.44276,0.89252,0.82162,0.90603,0.61545,1.10738,1.51455,1.49431,0.000815959,0.000815959,0.000815959
15,1747.28,1.02217,2.11778,1.42767,0.90528,0.81062,0.901,0.61169,1.11985,1.56536,1.49491,0.000768802,0.000768802,0.000768802
16,1860.99,1.02177,2.12227,1.42992,0.87417,0.82148,0.9038,0.61916,1.10075,1.53849,1.49178,0.000721645,0.000721645,0.000721645
17,1974.32,1.01091,2.05245,1.42234,0.88501,0.83924,0.91067,0.62125,1.10942,1.48363,1.48769,0.000674488,0.000674488,0.000674488
18,2087.67,0.99983,2.03871,1.41152,0.89656,0.84107,0.92067,0.62847,1.0973,1.44455,1.4803,0.000627331,0.000627331,0.000627331
19,2201.04,1.00094,2.02638,1.41044,0.90422,0.83102,0.91582,0.62755,1.09861,1.48034,1.47104,0.000580174,0.000580174,0.000580174
20,2318.74,0.99408,2.00349,1.40116,0.89815,0.84355,0.91613,0.63116,1.08065,1.44495,1.46158,0.000533017,0.000533017,0.000533017
21,2475.51,0.88893,1.25364,1.36077,0.90821,0.83553,0.91584,0.63885,1.06519,1.3971,1.45177,0.00048586,0.00048586,0.00048586
22,2620.8,0.86882,1.18852,1.34676,0.89938,0.84696,0.91708,0.64212,1.05052,1.3803,1.44064,0.000438703,0.000438703,0.000438703
23,2747.47,0.84797,1.13724,1.33136,0.88643,0.8521,0.9187,0.64889,1.03897,1.3396,1.42824,0.000391546,0.000391546,0.000391546
24,2855.76,0.83335,1.09376,1.30904,0.90889,0.84541,0.9196,0.65066,1.03747,1.34181,1.42918,0.000344389,0.000344389,0.000344389
25,2980.45,0.8218,1.06212,1.30162,0.90438,0.85497,0.92745,0.65225,1.03902,1.30631,1.42481,0.000297232,0.000297232,0.000297232
26,3127.05,0.81,1.04619,1.29356,0.92065,0.85175,0.9303,0.65374,1.04531,1.3068,1.42425,0.000250075,0.000250075,0.000250075
27,3266.45,0.80283,1.00606,1.28587,0.9229,0.83867,0.92246,0.65196,1.03644,1.29965,1.42293,0.000202918,0.000202918,0.000202918
28,3407.4,0.78893,0.98579,1.27804,0.90434,0.8486,0.92398,0.65655,1.03167,1.28634,1.42032,0.000155761,0.000155761,0.000155761
29,3518.93,0.77957,0.96457,1.26486,0.90227,0.86059,0.92284,0.65354,1.03113,1.27975,1.41923,0.000108604,0.000108604,0.000108604
30,3638.67,0.77122,0.94766,1.25804,0.91104,0.85494,0.92437,0.65275,1.03335,1.27996,1.42155,6.1447e-05,6.1447e-05,6.1447e-05
